rssd,cert,name,city,state,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,card_share_of_loans,utilisation
1391778,27499,COMENITY BANK,WILMINGTON,DE,7760444.0,6756180.0,6756180.0,37768445.0,44524625.0,1.0,0.15174030101320338
2992547,35237,"JOHN DEERE FINANCIAL, F.S.B.",MIDDLETON,WI,3397348.0,3372601.0,538717.0,33495476.0,34034193.0,0.15973339271381345,0.015828699096817132
2122997,33855,CREDIT FIRST NATIONAL ASSOCIATION,BROOK PARK,OH,38846.0,0.0,0.0,11435050.0,11435050.0,,0.0
2615190,34519,MERRICK BANK,SOUTH JORDAN,UT,9251625.0,8915993.0,6289466.0,4425411.0,10714877.0,0.70541396791137,0.5869844329524267
639567,25620,"CREDIT ONE BANK, NATIONAL ASSOCIATION",LAS VEGAS,NV,1966557.0,1710913.0,1710913.0,8111296.0,9822209.0,1.0,0.17418820959725048
2700984,34697,WEX BANK,SANDY,UT,8449841.0,3008168.0,0.0,8866340.0,8866340.0,0.0,0.0
77851,3973,FIRST BANK & TRUST,BROOKINGS,SD,4697206.0,3480723.0,77763.0,8474177.0,8551940.0,0.022341048109832354,0.009093024506720112
3783948,26342,"RBC BANK (GEORGIA), NATIONAL ASSOCIATION",ATLANTA,GA,8044396.0,3149532.0,263652.0,3153630.0,3417282.0,0.08371148475392534,0.07715254403938569
2687487,34535,"TCM BANK, NATIONAL ASSOCIATION",TAMPA,FL,395143.0,315877.0,202195.0,2298615.0,2500810.0,0.640106750412344,0.08085180401549898
278555,4091,"STRIDE BANK, NATIONAL ASSOCIATION",ENID,OK,4855805.0,4136107.0,2197556.0,0.0,2197556.0,0.5313102393144085,1.0
526452,1673,1ST FINANCIAL BANK USA,DAKOTA DUNES,SD,1352658.0,964454.0,361070.0,1655048.0,2016118.0,0.37437762713410905,0.17909169998978233
2562164,34403,COASTAL COMMUNITY BANK,EVERETT,WA,4737899.0,3820747.0,684223.0,843354.0,1527577.0,0.17908094935362118,0.44791391857824514
330855,1617,"BANK OF MISSOURI, THE",PERRYVILLE,MO,3035331.0,2157196.0,19152.0,1355173.0,1374325.0,0.008878191875008112,0.013935568369927055
529958,23647,"TIB, NATIONAL ASSOCIATION",FARMERS BRANCH,TX,2972669.0,1794438.0,70332.0,887672.0,958004.0,0.03919444416580567,0.07341514231673354
2858960,35444,"BANCORP BANK NATIONAL ASSOCIATION, THE",SIOUX FALLS,SD,9349048.0,7256065.0,729101.0,227979.0,957080.0,0.10048159711909968,0.7617973419149914
893855,8283,LEAD BANK,KANSAS CITY,MO,2610128.0,1071660.0,326374.0,384849.0,711223.0,0.30454995054401585,0.4588912338324267
2819167,35157,FARM BUREAU BANK FSB,RENO,NV,1090919.0,779859.0,116605.0,416463.0,533068.0,0.14952061847077486,0.2187431997418716
466240,16849,FIRST ARKANSAS BANK AND TRUST,JACKSONVILLE,AR,1166855.0,770928.0,38770.0,465958.0,504728.0,0.05029004005562128,0.07681365012442345
3482111,58619,MRV BANKS,SAINTE GENEVIEVE,MO,857961.0,650771.0,951.0,432805.0,433756.0,0.0014613435448106939,0.002192476876400557
2502825,34331,DSRM NATIONAL BANK,ALBUQUERQUE,NM,4457.0,0.0,0.0,368184.0,368184.0,,0.0
2880019,35323,FINWISE BANK,MURRAY,UT,967454.0,734603.0,59078.0,305313.0,364391.0,0.08042166993600625,0.16212804377715145
355858,14712,FIRST NATIONAL BANK,FORT PIERRE,SD,2073342.0,1524390.0,196569.0,156892.0,353461.0,0.12894928463188554,0.5561264184733252
67656,32629,FIRST SAVINGS BANK,BERESFORD,SD,1541563.0,1170837.0,175727.0,134000.0,309727.0,0.15008664741548142,0.5673609339837986
2808602,35278,"CAPITAL BANK, NATIONAL ASSOCIATION",ROCKVILLE,MD,3547608.0,2941578.0,137905.0,138632.0,276537.0,0.046881299764956086,0.4986855285187877
2576134,34404,WEBBANK,SALT LAKE CITY,UT,2940956.0,2147644.0,91334.0,158911.0,250245.0,0.04252753249607477,0.3649783212451797
1218446,27351,BANKERS' BANK OF KANSAS,WICHITA,KS,214160.0,154405.0,25580.0,198903.0,224483.0,0.16566821022635278,0.11395072232641225
2608754,34598,MERCANTILE BANK,GRAND RAPIDS,MI,6241994.0,4635332.0,1194.0,204783.0,205977.0,0.0002575867273368984,0.005796763716337261
110936,26725,BANCO DO BRASIL AMERICAS,MIAMI,FL,3205995.0,1991658.0,16356.0,165491.0,181847.0,0.008212253308549963,0.08994374391658921
2941068,57038,NICOLET NATIONAL BANK,GREEN BAY,WI,9170369.0,6849965.0,14929.0,143120.0,158049.0,0.002179427194153547,0.0944580478206126
37640,17393,GERMAN AMERICAN BANK,JASPER,IN,8376930.0,5882914.0,13916.0,126498.0,140414.0,0.002365494379146117,0.09910692665973478
592448,1299,EVOLVE BANK & TRUST,WEST MEMPHIS,AR,1286556.0,888691.0,56621.0,82147.0,138768.0,0.0637128090641179,0.408026346131673
2568063,34415,FIRST COMMAND BANK,FORT WORTH,TX,1076009.0,500482.0,21981.0,109685.0,131666.0,0.0439196614463657,0.16694514908936248
3636446,58626,GBANK,LAS VEGAS,NV,1355585.0,1005278.0,11289.0,116585.0,127874.0,0.011229729487763584,0.08828221530569154
450856,13421,UNION BANK AND TRUST COMPANY,LINCOLN,NE,9093084.0,6854945.0,18226.0,104558.0,122784.0,0.002658810537502489,0.14843953609590826
779351,8866,"MERCHANTS BANK, NATIONAL ASSOCIATION",WINONA,MN,2898711.0,2051191.0,18865.0,100569.0,119434.0,0.009197095736086985,0.15795334661821592
474759,4767,"SUNFLOWER BANK, NATIONAL ASSOCIATION",DALLAS,TX,8473383.0,6773719.0,4286.0,111354.0,115640.0,0.0006327395630081495,0.03706329989622968
773247,1040,MIDLAND STATES BANK,EFFINGHAM,IL,6502519.0,4359785.0,0.0,115596.0,115596.0,0.0,0.0
58243,20296,JOHNSON BANK,RACINE,WI,7187696.0,5275069.0,18139.0,91313.0,109452.0,0.0034386280065720467,0.1657256148814092
100562,21943,TRI COUNTIES BANK,CHICO,CA,9820725.0,7113782.0,0.0,108826.0,108826.0,0.0,0.0
944355,25894,FIRST NATIONAL BANK,OLDHAM,SD,462466.0,358397.0,63134.0,44279.0,107413.0,0.1761566084537538,0.5877687058363513
408642,23537,BANKERS' BANK,MADISON,WI,1420052.0,1108074.0,13542.0,87284.0,100826.0,0.01222120544295778,0.1343105944895166
317342,258,STOCK YARDS BANK & TRUST COMPANY,LOUISVILLE,KY,9533246.0,7047557.0,3569.0,90673.0,94242.0,0.0005064166206814645,0.03787058848496424
399517,13876,CNB BANK,CLEARFIELD,PA,8372231.0,6486290.0,13276.0,80373.0,93649.0,0.002046778667003788,0.14176339309549488
731247,14650,HILLS BANK AND TRUST COMPANY,HILLS,IA,4646755.0,3573070.0,12176.0,80910.0,93086.0,0.0034077138147307496,0.13080377285520917
577128,6544,PEOPLES BANK,MARIETTA,OH,9637101.0,6759576.0,6299.0,86635.0,92934.0,0.0009318631819510573,0.06777928422321217
673440,5633,FIRST SECURITY BANK,SEARCY,AR,8360743.0,4500545.0,11975.0,79144.0,91119.0,0.0026607888600158427,0.13142154764648425
236153,10248,FIRST INTERNATIONAL BANK AND TRUST,WATFORD CITY,ND,6161111.0,4729502.0,15472.0,75421.0,90893.0,0.003271380369434245,0.1702221293168891
256553,17437,DACOTAH BANK,ABERDEEN,SD,4835143.0,3967609.0,13194.0,72868.0,86062.0,0.0033254284885430997,0.15330808022123585
114260,16130,FIRST NATIONAL BANK ALASKA,ANCHORAGE,AK,5099945.0,2718111.0,1690.0,80447.0,82137.0,0.0006217553293445337,0.020575380157541668
353555,14531,AMARILLO NATIONAL BANK,AMARILLO,TX,9551998.0,7093817.0,9942.0,66408.0,76350.0,0.0014015021814067095,0.13021611001964636
