report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,9839751.0,6422646.0,26.0,53332.0,53358.0,0.00048727463548109,4.048175783002831e-06,1029875.0,7823523.0,0.13163826577872909,,108407.0,37119.0,0.0
2023-06-30,9850805.0,6521797.0,18.0,54997.0,55015.0,0.0003271834954103426,2.7599755098173095e-06,1047217.0,7960411.0,0.13155313211842956,,117329.0,63477.0,0.0
2023-09-30,9894277.0,6709310.0,17.0,56899.0,56916.0,0.0002986857825567503,2.533792595661849e-06,1070347.0,8117383.0,0.13185862980716814,,115812.0,95481.0,0.0
2023-12-31,9907411.0,6794928.0,13.0,85307.0,85320.0,0.00015236755743084856,1.9131917218254557e-06,1088717.0,8120460.0,0.13407085312900993,,121522.0,123007.0,0.0
2024-03-31,9811273.0,6802041.0,0.0,101718.0,101718.0,,,1100831.0,8097762.0,0.13594262217140982,,124394.0,29180.0,0.0
2024-06-30,9739554.0,6743000.0,0.0,104023.0,104023.0,,,1110208.0,8041100.0,0.13806668241907202,,123517.0,59782.0,0.0
2024-09-30,9822019.0,6685886.0,0.0,106826.0,106826.0,,,1132442.0,7967080.0,0.14214015674500569,,123760.0,90374.0,0.0
2024-12-31,9671740.0,6769232.0,0.0,106998.0,106998.0,,,1148328.0,8007044.0,0.14341472333610256,,125366.0,120833.0,0.0
2025-03-31,9815501.0,6822802.0,0.0,109443.0,109443.0,,,1165564.0,8047356.0,0.14483813068540774,,128423.0,27763.0,0.0
2025-06-30,9922103.0,6960570.0,0.0,111449.0,111449.0,,,1167759.0,8188732.0,0.14260559510312462,,124455.0,56778.0,0.0
2025-09-30,9874826.0,7009609.0,0.0,115507.0,115507.0,,,1130460.0,8211998.0,0.13765955617621922,,124571.0,90073.0,0.0
2025-12-31,9820725.0,7113782.0,0.0,108826.0,108826.0,,,1145890.0,8349601.0,0.13723889321178342,,125762.0,124394.0,0.0
