report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,190822.0,130891.0,24772.0,169766.0,194538.0,0.12733758957118918,0.18925670978142117,32789.0,150750.0,0.21750580431177446,,2700.0,291.0,93.0
2023-06-30,201004.0,133720.0,25554.0,173974.0,199528.0,0.12807225051120644,0.19110080765779242,32997.0,153599.0,0.21482561735427966,,2687.0,500.0,279.0
2023-09-30,189575.0,137565.0,25537.0,182101.0,207638.0,0.12298808503260482,0.185635881219787,32772.0,158086.0,0.20730488468302063,,2718.0,774.0,465.0
2023-12-31,212385.0,138677.0,26577.0,181849.0,208426.0,0.12751288226996632,0.19164677632195679,33155.0,158207.0,0.209567212575929,,2716.0,1157.0,662.0
2024-03-31,199652.0,136457.0,24754.0,201040.0,225794.0,0.10963090250405237,0.181405131286779,33342.0,150676.0,0.22128275239586928,,2736.0,188.0,174.0
2024-06-30,207622.0,141948.0,24678.0,205168.0,229846.0,0.10736754174534253,0.1738523966522952,34957.0,157491.0,0.22196188988577126,,2821.0,1803.0,311.0
2024-09-30,191158.0,139343.0,25065.0,205891.0,230956.0,0.10852716534751208,0.1798798647940693,35365.0,156049.0,0.22662753365929933,,2850.0,2211.0,475.0
2024-12-31,216552.0,145151.0,26053.0,199914.0,225967.0,0.11529559625963083,0.1794889459941716,35205.0,164049.0,0.21460051569957755,,2920.0,2650.0,729.0
2025-03-31,227737.0,136988.0,24491.0,206536.0,231027.0,0.10600925432958053,0.17878208310216953,35530.0,156881.0,0.22647739369330894,,2917.0,326.0,212.0
2025-06-30,219207.0,141701.0,24767.0,208466.0,233233.0,0.10618994739166412,0.17478352305206032,35824.0,165301.0,0.21671980205806377,,3174.0,619.0,403.0
2025-09-30,196546.0,145965.0,24445.0,197055.0,221500.0,0.11036117381489842,0.16747165416366938,36279.0,170566.0,0.21269772404816903,,3423.0,1074.0,564.0
2025-12-31,214160.0,154405.0,25580.0,198903.0,224483.0,0.11395072232641225,0.16566821022635278,36460.0,180415.0,0.20208962669401104,,2845.0,1255.0,844.0
