report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,39407.0,0.0,0.0,8360132.0,8360132.0,,,37752.0,10470.0,3.605730659025788,,0.0,2247.0,0.0
2023-06-30,38857.0,0.0,0.0,9158354.0,9158354.0,,,36988.0,10120.0,3.6549407114624506,,0.0,4483.0,0.0
2023-09-30,37246.0,0.0,0.0,9794815.0,9794815.0,,,34773.0,10109.0,3.439806113364329,,0.0,6268.0,0.0
2023-12-31,38650.0,0.0,0.0,10154033.0,10154033.0,,,36275.0,9114.0,3.9801404432740837,,0.0,9770.0,0.0
2024-03-31,40501.0,0.0,0.0,10584231.0,10584231.0,,,38095.0,9765.0,3.901177675371224,,0.0,1820.0,0.0
2024-06-30,39929.0,0.0,0.0,10563634.0,10563634.0,,,37470.0,10193.0,3.6760521926812517,,0.0,4195.0,0.0
2024-09-30,38445.0,0.0,0.0,10942193.0,10942193.0,,,37006.0,8509.0,4.349042190621694,,0.0,7231.0,0.0
2024-12-31,38008.0,0.0,0.0,11268213.0,11268213.0,,,36569.0,8873.0,4.121379465795108,,0.0,9794.0,0.0
2025-03-31,40176.0,0.0,0.0,11570422.0,11570422.0,,,38616.0,9441.0,4.090244677470607,,0.0,2047.0,0.0
2025-06-30,40021.0,0.0,0.0,11065783.0,11065783.0,,,38490.0,9286.0,4.144949386172733,,0.0,4921.0,0.0
2025-09-30,38973.0,0.0,0.0,11256023.0,11256023.0,,,37466.0,9439.0,3.969276406398983,,0.0,7897.0,0.0
2025-12-31,38846.0,0.0,0.0,11435050.0,11435050.0,,,37417.0,9652.0,3.8766058847907168,,0.0,11348.0,0.0
