report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,4876751.0,4039202.0,14724.0,95759.0,110483.0,0.13326937175855108,0.00364527448738637,416581.0,4145089.0,0.10049989276466681,,43206.0,19296.0,15.0
2023-06-30,4998298.0,4123597.0,15288.0,82143.0,97431.0,0.156911044739354,0.003707442798120185,416566.0,4212609.0,0.09888551251730222,,44932.0,37517.0,18.0
2023-09-30,5028858.0,4215534.0,15034.0,84995.0,100029.0,0.1502964140399284,0.0035663334704452627,426850.0,4324208.0,0.09871171784521003,,46733.0,56038.0,49.0
2023-12-31,5171412.0,4294292.0,15117.0,85716.0,100833.0,0.1499211567641546,0.003520254328303711,435638.0,4386756.0,0.09930755209544365,,46291.0,77818.0,118.0
2024-03-31,5188891.0,4311279.0,14782.0,84318.0,99100.0,0.1491624621594349,0.0034286809088439883,447359.0,4389906.0,0.10190628227574805,,48009.0,19212.0,95.0
2024-06-30,5399613.0,4444404.0,15172.0,83875.0,99047.0,0.1531798035276182,0.003413731064952691,450734.0,4488385.0,0.10042231225708133,,46730.0,40429.0,141.0
2024-09-30,5381242.0,4440440.0,15712.0,84033.0,99745.0,0.15752168028472605,0.0035383880876669878,465510.0,4489004.0,0.10370006353302426,,44988.0,62946.0,162.0
2024-12-31,5453117.0,4386598.0,15055.0,83665.0,98720.0,0.1525020259319287,0.0034320446049535425,501058.0,4459271.0,0.11236320914337793,,45399.0,101344.0,233.0
2025-03-31,5474581.0,4361393.0,14965.0,82173.0,97138.0,0.15405917354691265,0.0034312431830839365,524928.0,4470555.0,0.11741897818056148,,46295.0,30946.0,15.0
2025-06-30,5495895.0,4561723.0,15457.0,84306.0,99763.0,0.15493720116676524,0.0033884126677573363,514047.0,4669334.0,0.11009000427041629,,47836.0,52243.0,80.0
2025-09-30,5680943.0,4651986.0,15070.0,85532.0,100602.0,0.14979821474722171,0.0032394766450285963,522823.0,4806368.0,0.10877714731789159,,49033.0,72075.0,126.0
2025-12-31,6161111.0,4729502.0,15472.0,75421.0,90893.0,0.1702221293168891,0.003271380369434245,542421.0,4942642.0,0.1097431292818699,,51764.0,95774.0,147.0
