report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,4093.0,0.0,0.0,392397.0,392397.0,,,3450.0,,,,0.0,11.0,0.0
2023-06-30,4099.0,0.0,0.0,490592.0,490592.0,,,3460.0,,,,0.0,21.0,0.0
2023-09-30,4094.0,0.0,0.0,483357.0,483357.0,,,3474.0,,,,0.0,35.0,0.0
2023-12-31,4111.0,0.0,0.0,485903.0,485903.0,,,3489.0,,,,0.0,50.0,0.0
2024-03-31,4134.0,0.0,0.0,481438.0,481438.0,,,3504.0,,,,0.0,15.0,0.0
2024-06-30,4142.0,0.0,0.0,409779.0,409779.0,,,3530.0,,,,0.0,41.0,0.0
2024-09-30,4162.0,0.0,0.0,403981.0,403981.0,,,3550.0,,,,0.0,61.0,0.0
2024-12-31,4175.0,0.0,0.0,402938.0,402938.0,,,3574.0,2331.0,1.5332475332475333,,0.0,85.0,0.0
2025-03-31,4194.0,0.0,0.0,403126.0,403126.0,,,3597.0,2076.0,1.7326589595375723,,0.0,23.0,0.0
2025-06-30,4200.0,0.0,0.0,387893.0,387893.0,,,3625.0,2273.0,1.594808622965244,,0.0,51.0,0.0
2025-09-30,4400.0,0.0,0.0,369794.0,369794.0,,,3650.0,2717.0,1.3433934486566066,,0.0,76.0,0.0
2025-12-31,4457.0,0.0,0.0,368184.0,368184.0,,,3678.0,2444.0,1.504909983633388,,0.0,104.0,0.0
