report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,1091314.0,407259.0,24140.0,104380.0,128520.0,0.18783068783068782,0.05927431929067252,89008.0,535729.0,0.16614370325295066,,3018.0,5626.0,46.0
2023-06-30,1068781.0,418604.0,24012.0,104890.0,128902.0,0.18628105072070256,0.05736208922991658,95078.0,544810.0,0.1745158862722784,,3100.0,11697.0,76.0
2023-09-30,1138881.0,429543.0,23847.0,105361.0,129208.0,0.18456287536375457,0.05551714263764047,100604.0,554653.0,0.18138187299086095,,3349.0,17220.0,136.0
2023-12-31,1052648.0,431407.0,24704.0,104023.0,128727.0,0.1919100111087806,0.05726379034183497,87023.0,552550.0,0.15749343950773687,,3744.0,23143.0,165.0
2024-03-31,1068619.0,445767.0,23254.0,104557.0,127811.0,0.18194052155135318,0.05216626623325639,92868.0,560662.0,0.1656399042560402,,3913.0,5844.0,102.0
2024-06-30,1043210.0,453378.0,22593.0,102798.0,125391.0,0.18018039572218103,0.0498325900242182,98467.0,564746.0,0.17435625927408074,,3963.0,11443.0,173.0
2024-09-30,1237450.0,465570.0,22258.0,103672.0,125930.0,0.17674898753275628,0.047808063234314926,104405.0,569938.0,0.18318659222582107,,4549.0,17067.0,263.0
2024-12-31,1064913.0,470305.0,21528.0,105692.0,127220.0,0.16921867630875648,0.04577455055761687,91257.0,570463.0,0.15997005940788447,,4424.0,23920.0,330.0
2025-03-31,1077501.0,487024.0,20573.0,107686.0,128259.0,0.1604019990799866,0.04224227142810211,96954.0,584048.0,0.16600347916609592,,4223.0,5697.0,72.0
2025-06-30,1053125.0,491679.0,20939.0,108045.0,128984.0,0.16233796439868511,0.04258672833291639,102297.0,584522.0,0.17500966601770335,,5149.0,11041.0,104.0
2025-09-30,1055180.0,496024.0,21385.0,109456.0,130841.0,0.16344265176817666,0.043112833250004035,108771.0,588731.0,0.18475500695563848,,5105.0,17372.0,181.0
2025-12-31,1076009.0,500482.0,21981.0,109685.0,131666.0,0.16694514908936248,0.0439196614463657,93765.0,589482.0,0.1590633810701599,,5786.0,22166.0,303.0
