report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,2262732.0,1846437.0,75907.0,99473.0,175380.0,0.4328144600296499,0.04110998642249911,297271.0,2168470.0,0.13708790068573695,,36693.0,19688.0,0.0
2023-06-30,2338623.0,1925123.0,62876.0,96454.0,159330.0,0.3946275026674198,0.03266077024688812,316759.0,2171217.0,0.1458900699469468,,34111.0,39076.0,0.0
2023-09-30,2523152.0,1983365.0,63243.0,90681.0,153924.0,0.41087159897092074,0.031886717775094345,314081.0,2363297.0,0.13289950437884024,,65040.0,36299.0,0.0
2023-12-31,2517462.0,1994094.0,63155.0,49371.0,112526.0,0.5612480671133783,0.031671024535453195,334833.0,2331535.0,0.14361053983748903,,25486.0,56952.0,0.0
2024-03-31,2292156.0,1771433.0,51325.0,83701.0,135026.0,0.38011197843378314,0.028973717888285924,335440.0,2145630.0,0.1563363674072417,,22120.0,21482.0,0.0
2024-06-30,2228745.0,1710943.0,48697.0,64881.0,113578.0,0.42875380795576606,0.028462082021434965,347406.0,2033262.0,0.17086140399023836,,20821.0,43354.0,0.0
2024-09-30,2172107.0,1691562.0,49529.0,44441.0,93970.0,0.527072469937214,0.029280038213201763,355854.0,2031234.0,0.17519104150481923,,24636.0,61708.0,0.0
2024-12-31,2112676.0,1824707.0,59903.0,23917.0,83820.0,0.714662371748986,0.03282883224539611,374865.0,2154156.0,0.17401943034766285,,26463.0,84809.0,0.0
2025-03-31,2081177.0,1749571.0,70720.0,8336.0,79056.0,0.8945557579437361,0.0404213375736109,385778.0,2113754.0,0.18250846598043102,,21957.0,21785.0,0.0
2025-06-30,2176971.0,1807899.0,92440.0,44965.0,137405.0,0.6727557221352934,0.051131174916297865,400085.0,2040013.0,0.19611884826224146,,22664.0,45999.0,0.0
2025-09-30,2387965.0,2041595.0,127210.0,42293.0,169503.0,0.750488191949405,0.062309125952992636,418400.0,2219201.0,0.18853632456005562,,23799.0,74220.0,0.0
2025-12-31,2940956.0,2147644.0,91334.0,158911.0,250245.0,0.3649783212451797,0.04252753249607477,438556.0,2628510.0,0.16684585563684368,,21329.0,104283.0,0.0
