report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,4876281.0,3969348.0,778.0,127863.0,128641.0,0.006047838558468918,0.00019600196304279694,593516.0,4621339.0,0.12842944436666515,,42877.0,23552.0,10.0
2023-06-30,5117941.0,4063784.0,771.0,133234.0,134005.0,0.005753516659826126,0.00018972465071962486,610096.0,4782085.0,0.1275794972276737,,44721.0,46497.0,15.0
2023-09-30,5231405.0,4114547.0,850.0,135886.0,136736.0,0.006216358530306576,0.00020658410269708914,627220.0,4928867.0,0.1272543974101959,,48008.0,70044.0,14.0
2023-12-31,5313149.0,4322366.0,837.0,142096.0,142933.0,0.0058558905221327475,0.00019364394408062622,643227.0,5175503.0,0.1242829923970675,,49914.0,92456.0,10.0
2024-03-31,5423219.0,4336399.0,862.0,150098.0,150960.0,0.005710121886592475,0.00019878244598801908,660223.0,5166678.0,0.12778481647201548,,51638.0,24277.0,-4.0
2024-06-30,5548093.0,4460371.0,892.0,157426.0,158318.0,0.005634229841205675,0.00019998336461249524,674519.0,5270927.0,0.1279697100718716,,55408.0,45853.0,-6.0
2024-09-30,5862869.0,4582278.0,967.0,163380.0,164347.0,0.005883892008980997,0.00021103040889269487,689634.0,5377289.0,0.1282493836578246,,56590.0,68247.0,0.0
2024-12-31,5994362.0,4616604.0,1145.0,172273.0,173418.0,0.006602544141899918,0.0002480178070287163,703737.0,5447390.0,0.12918792302368656,,54454.0,89629.0,-3.0
2025-03-31,6073612.0,4651740.0,1131.0,181546.0,182677.0,0.00619125560415378,0.0002431348269679733,705187.0,5448763.0,0.12942148520682584,,56666.0,22251.0,0.0
2025-06-30,6107885.0,4725589.0,1152.0,191732.0,192884.0,0.005972501607183592,0.00024377913525700182,720013.0,5614756.0,0.12823584853909947,,58375.0,47476.0,-3.0
2025-09-30,6234507.0,4632592.0,1237.0,196191.0,197428.0,0.006265575298336609,0.0002670211406486908,732289.0,5560382.0,0.13169760638747482,,59129.0,74053.0,2.0
2025-12-31,6241994.0,4635332.0,1194.0,204783.0,205977.0,0.005796763716337261,0.0002575867273368984,717619.0,5619370.0,0.12770452915540353,,55793.0,98707.0,5.0
