report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,315307.0,284044.0,186633.0,2083468.0,2270101.0,0.08221352265824296,0.6570566531945755,63012.0,302520.0,0.2082903609678699,,11020.0,323.0,1197.0
2023-06-30,328842.0,287108.0,189022.0,2094969.0,2283991.0,0.08275952050599149,0.6583654931245385,61677.0,307739.0,0.20041983628984303,,11155.0,502.0,2705.0
2023-09-30,329211.0,289294.0,188780.0,2117298.0,2306078.0,0.08186193181670351,0.6525541490663477,62242.0,307903.0,0.20214807910283433,,11230.0,837.0,3679.0
2023-12-31,343675.0,307637.0,205872.0,2212744.0,2418616.0,0.08511975443807533,0.6692042894710324,63064.0,325825.0,0.1935517532417709,,10706.0,2007.0,5106.0
2024-03-31,325372.0,300478.0,193133.0,2095313.0,2288446.0,0.084394825134611,0.6427525476074788,63142.0,317380.0,0.1989476337513391,,10821.0,-165.0,1387.0
2024-06-30,356263.0,307384.0,194604.0,1828121.0,2022725.0,0.09620882720092944,0.6330973635582854,62710.0,329134.0,0.19053030072857863,,11061.0,-258.0,2894.0
2024-09-30,344531.0,304085.0,192263.0,2170032.0,2362295.0,0.08138822627995233,0.6322672936843317,62552.0,328030.0,0.19068987592598238,,10864.0,-59.0,4216.0
2024-12-31,379274.0,329680.0,215858.0,2229671.0,2445529.0,0.08826638326513404,0.6547500606648872,63250.0,355505.0,0.1779159224202191,,11225.0,399.0,4602.0
2025-03-31,358400.0,315071.0,196579.0,2277429.0,2474008.0,0.07945770587645634,0.6239196879433524,60561.0,340907.0,0.17764668956636268,,11140.0,-2176.0,1700.0
2025-06-30,381530.0,313288.0,198643.0,2302162.0,2500805.0,0.0794316230173884,0.6340587574372463,74425.0,344696.0,0.21591489312321582,,11077.0,-2169.0,3099.0
2025-09-30,380870.0,309106.0,194433.0,2294275.0,2488708.0,0.0781260798775911,0.6290172303352248,73996.0,337404.0,0.21930978885846047,,10956.0,-2098.0,4777.0
2025-12-31,395143.0,315877.0,202195.0,2298615.0,2500810.0,0.08085180401549898,0.640106750412344,72807.0,348111.0,0.2091488059842981,,11225.0,-3167.0,6589.0
