report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,3349976.0,2204238.0,1383879.0,0.0,1383879.0,1.0,0.6278264869764517,181225.0,926004.0,0.19570649802808626,,10658.0,13310.0,0.0
2023-06-30,3054814.0,2205250.0,1269715.0,0.0,1269715.0,1.0,0.5757691871669879,192821.0,1080129.0,0.1785166401420571,,11207.0,28406.0,0.0
2023-09-30,3208378.0,2364148.0,1309141.0,0.0,1309141.0,1.0,0.5537474811221632,202004.0,1193812.0,0.16920922222259452,,11440.0,41889.0,0.0
2023-12-31,3694234.0,2797093.0,1586654.0,0.0,1586654.0,1.0,0.5672510710226654,211072.0,1339538.0,0.1575707445402818,,13117.0,53707.0,0.0
2024-03-31,4566959.0,3301827.0,2018592.0,0.0,2018592.0,1.0,0.6113560764994653,255331.0,1412608.0,0.180751489443639,,14986.0,19258.0,0.0
2024-06-30,4013774.0,3067238.0,1684295.0,0.0,1684295.0,1.0,0.5491243261853173,270889.0,1490388.0,0.181757367880042,,17012.0,39417.0,0.0
2024-09-30,3740694.0,3168102.0,1729682.0,0.0,1729682.0,1.0,0.5459679012860066,285448.0,1543661.0,0.18491624780311222,,15519.0,58476.0,0.0
2024-12-31,3928318.0,3336490.0,1764971.0,0.0,1764971.0,1.0,0.5289903461422033,300846.0,1646654.0,0.18270140539542612,,17169.0,78874.0,0.0
2025-03-31,4356755.0,3596409.0,2006539.0,0.0,2006539.0,1.0,0.5579284781013505,316498.0,1677915.0,0.18862576471394557,,18144.0,22251.0,0.0
2025-06-30,3815021.0,3427801.0,1759868.0,0.0,1759868.0,1.0,0.5134102008838903,329597.0,1712978.0,0.1924116947211231,,19687.0,42851.0,0.0
2025-09-30,3840708.0,3453084.0,1708447.0,0.0,1708447.0,1.0,0.4947597567855285,342540.0,1772853.0,0.19321398897708947,,19948.0,64493.0,0.0
2025-12-31,4855805.0,4136107.0,2197556.0,0.0,2197556.0,1.0,0.5313102393144085,357576.0,2036275.0,0.17560300057703404,,20974.0,87530.0,0.0
