report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,2191588.0,1745328.0,106116.0,128277.0,234393.0,0.4527268305794115,0.06080003300239267,206551.0,1608935.0,0.1283774670822625,,25737.0,9295.0,1700.0
2023-06-30,2174128.0,1795871.0,114963.0,120748.0,235711.0,0.4877286168231436,0.06401517703665797,210202.0,1639642.0,0.12819993632756418,,27017.0,16007.0,3282.0
2023-09-30,2224348.0,1820482.0,114991.0,115637.0,230628.0,0.49859947621277556,0.06316513978166222,219908.0,1659154.0,0.1325422474345359,,27671.0,25272.0,5036.0
2023-12-31,2176502.0,1864069.0,116453.0,114882.0,231335.0,0.5033955086778914,0.062472472853740926,228794.0,1687515.0,0.135580424470301,,28010.0,33719.0,6884.0
2024-03-31,2276154.0,1928460.0,106572.0,128374.0,234946.0,0.4536021043133316,0.055262748514358605,233517.0,1782346.0,0.13101664884371497,,28690.0,6251.0,1665.0
2024-06-30,2389412.0,1993088.0,116180.0,125619.0,241799.0,0.48048172242234255,0.05829145526941108,240917.0,1818321.0,0.13249420756841063,,30173.0,14176.0,3187.0
2024-09-30,2499981.0,2080208.0,121718.0,125304.0,247022.0,0.49274153719101943,0.05851241798897033,236629.0,1892356.0,0.12504465333161413,,31265.0,22413.0,4910.0
2024-12-31,3141986.0,2604297.0,122928.0,124732.0,247660.0,0.49635791003795526,0.04720198963482276,281825.0,2443107.0,0.1153551604575649,,47992.0,30569.0,7024.0
2025-03-31,3284789.0,2666543.0,115992.0,135112.0,251104.0,0.46192812539824135,0.04349901726692575,293705.0,2517000.0,0.11668851807707588,,47794.0,12205.0,2297.0
2025-06-30,3327352.0,2715533.0,126233.0,136422.0,262655.0,0.4806038339266338,0.04648553341093627,302233.0,2546132.0,0.11870280095454595,,46832.0,23802.0,4361.0
2025-09-30,3328022.0,2797058.0,130897.0,137816.0,268713.0,0.4871256693944841,0.04679810000364669,308384.0,2638398.0,0.1168830479707762,,52429.0,36666.0,6508.0
2025-12-31,3547608.0,2941578.0,137905.0,138632.0,276537.0,0.4986855285187877,0.046881299764956086,316082.0,2787983.0,0.11337300119835737,,53982.0,50211.0,6961.0
