report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,7609296.0,5847681.0,0.0,0.0,,,,833800.0,5230439.0,0.15941300529458427,,23794.0,54295.0,0.0
2023-06-30,7533245.0,5664156.0,0.0,0.0,,,,862028.0,5172413.0,0.16665877222101175,,23284.0,107422.0,0.0
2023-09-30,7456896.0,5578575.0,0.0,0.0,,,,891715.0,5166824.0,0.17258474451616698,,24145.0,162011.0,0.0
2023-12-31,7693130.0,5693905.0,0.0,0.0,,,,911644.0,5255442.0,0.17346666560110452,,27378.0,206840.0,0.0
2024-03-31,7919487.0,5742342.0,8265.0,0.0,8265.0,1.0,0.0014393082125725009,923103.0,5295963.0,0.17430314373419906,,28741.0,61358.0,0.0
2024-06-30,8128895.0,5870921.0,53321.0,12153.0,65474.0,0.8143843357668693,0.009082220660097453,879375.0,5602980.0,0.15694773138579826,,28575.0,120531.0,0.0
2024-09-30,8077914.0,6158620.0,110984.0,20348.0,131332.0,0.8450644168976335,0.018020920271099694,883622.0,5849660.0,0.15105527500743632,,31004.0,177679.0,0.0
2024-12-31,8706436.0,6336743.0,201150.0,28856.0,230006.0,0.8745424032416546,0.03174343665192039,887771.0,5820356.0,0.15252864257787668,,44853.0,234729.0,0.0
2025-03-31,9385015.0,6591731.0,305276.0,76846.0,382122.0,0.7988966874453709,0.046311962669593164,912252.0,5952535.0,0.15325436977691018,,52497.0,63381.0,0.0
2025-06-30,8826561.0,6720909.0,346938.0,70714.0,417652.0,0.8306867918745751,0.05162069595050312,940038.0,5949667.0,0.15799842243271767,,59393.0,130067.0,122.0
2025-09-30,8577059.0,6815297.0,415957.0,85975.0,501932.0,0.8287118573830718,0.061032850072417974,864080.0,5895490.0,0.14656627354130022,,64152.0,193011.0,541.0
2025-12-31,9349048.0,7256065.0,729101.0,227979.0,957080.0,0.7617973419149914,0.10048159711909968,858328.0,6119755.0,0.14025528799764042,,66200.0,252159.0,713.0
