report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,437188.0,297668.0,0.0,0.0,,,,96738.0,,,,12034.0,5118.0,0.0
2023-06-30,488414.0,332344.0,0.0,0.0,,,,103813.0,,,,12321.0,10851.0,0.0
2023-09-30,549640.0,382895.0,0.0,0.0,,,,110923.0,,,,12986.0,16990.0,0.0
2023-12-31,582263.0,418956.0,0.0,0.0,,,,116108.0,,,,12888.0,21992.0,0.0
2024-03-31,602172.0,444681.0,2.0,0.0,2.0,1.0,4.497606149127127e-06,120872.0,,,,12633.0,4543.0,0.0
2024-06-30,607314.0,478182.0,1.0,0.0,1.0,1.0,2.0912539576981148e-06,125904.0,,,,13127.0,9090.0,0.0
2024-09-30,671512.0,514728.0,0.0,0.0,,,,131294.0,,,,12661.0,13994.0,0.0
2024-12-31,732757.0,552575.0,52.0,0.0,52.0,1.0,9.410487264172284e-05,135374.0,,,,13177.0,17960.0,0.0
2025-03-31,795714.0,605405.0,0.0,256.0,256.0,,,138667.0,,,,14235.0,3479.0,0.0
2025-06-30,833144.0,670033.0,0.0,446.0,446.0,,,143711.0,,,,16247.0,7940.0,0.0
2025-09-30,898794.0,716046.0,1001.0,391.0,1392.0,0.7191091954022989,0.0013979548799937433,149204.0,,,,25778.0,13233.0,0.0
2025-12-31,967454.0,734603.0,59078.0,305313.0,364391.0,0.16212804377715145,0.08042166993600625,153218.0,,,,36796.0,17509.0,0.0
