report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,7659900.0,5248392.0,2355.0,68519.0,70874.0,0.033227982052656826,0.0004487088616856363,691954.0,6074916.0,0.11390346796564758,,75673.0,29302.0,69.0
2023-06-30,7724821.0,5424669.0,2409.0,69850.0,72259.0,0.03333840767240067,0.00044408239470463545,711497.0,6319142.0,0.11259392493474589,,77710.0,57525.0,84.0
2023-09-30,7901513.0,5622610.0,2477.0,81774.0,84251.0,0.029400244507483592,0.00044054273726970214,730905.0,6516414.0,0.11216368389117082,,78075.0,85550.0,86.0
2023-12-31,8165735.0,5776085.0,2819.0,83699.0,86518.0,0.032582815136734555,0.0004880468344908359,746815.0,6745109.0,0.11071948577851003,,79374.0,111007.0,627.0
2024-03-31,8114426.0,5856177.0,2725.0,84209.0,86934.0,0.031345618515195434,0.0004653206349466555,765239.0,6852284.0,0.11167648626355825,,80897.0,27165.0,22.0
2024-06-30,8312851.0,6077401.0,2903.0,86436.0,89339.0,0.032494207456989666,0.00047767129402848357,788528.0,7066376.0,0.11158874081990543,,82154.0,55949.0,77.0
2024-09-30,8435083.0,6282955.0,2946.0,89561.0,92507.0,0.031846238663020096,0.00046888764920328095,808604.0,7192493.0,0.11242332804494909,,85343.0,85777.0,170.0
2024-12-31,8860929.0,6526688.0,3058.0,92060.0,95118.0,0.0321495405706596,0.0004685377943606313,828872.0,7412523.0,0.1118204962062175,,86943.0,117684.0,205.0
2025-03-31,8992689.0,6654157.0,3012.0,91592.0,94604.0,0.03183797725254746,0.00045264937391768784,850456.0,7544005.0,0.11273269304567003,,88814.0,34149.0,58.0
2025-06-30,9203594.0,6855286.0,3182.0,93788.0,96970.0,0.03281427245539858,0.00046416735931950907,875724.0,7730998.0,0.11327437932334221,,90722.0,69322.0,103.0
2025-09-30,9303136.0,6935501.0,3287.0,93895.0,97182.0,0.033823135971681996,0.0004739383643661792,903589.0,7800898.0,0.11583140812762838,,92160.0,106707.0,115.0
2025-12-31,9533246.0,7047557.0,3569.0,90673.0,94242.0,0.03787058848496424,0.0005064166206814645,931912.0,7882089.0,0.11823160078502032,,91867.0,144390.0,242.0
