report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,699356.0,622721.0,1066.0,285494.0,286560.0,0.0037199888330541595,0.0017118420608908324,68234.0,,,,11253.0,3601.0,0.0
2023-06-30,715134.0,625265.0,1805.0,507152.0,508957.0,0.0035464685621771582,0.0028867760069730434,72183.0,,,,11367.0,7544.0,0.0
2023-09-30,730270.0,629535.0,2905.0,824195.0,827100.0,0.003512271793011728,0.004614517064182293,76294.0,,,,11380.0,11761.0,0.0
2023-12-31,733191.0,618661.0,4069.0,921407.0,925476.0,0.0043966564232892046,0.006577107656697286,80571.0,,,,11693.0,16145.0,0.0
2024-03-31,726207.0,614420.0,6538.0,1281064.0,1287602.0,0.005077655983758957,0.01064092965723772,83914.0,,,,12602.0,3340.0,0.0
2024-06-30,743080.0,608272.0,6718.0,1764714.0,1771432.0,0.0037924120146864233,0.01104440118894179,87462.0,,,,12770.0,6885.0,0.0
2024-09-30,738583.0,610741.0,8824.0,2331849.0,2340673.0,0.0037698559345965884,0.014448022975369264,89860.0,,,,13853.0,9555.0,0.0
2024-12-31,822932.0,626375.0,6041.0,1315806.0,1321847.0,0.004570120445104463,0.009644382358810617,90949.0,,,,11327.0,10819.0,0.0
2025-03-31,762294.0,615220.0,12183.0,425946.0,438129.0,0.02780687879597105,0.019802672214817463,92494.0,,,,11159.0,1546.0,0.0
2025-06-30,764278.0,622795.0,2830.0,437289.0,440119.0,0.006430079137687761,0.00454403134257661,94436.0,,,,14093.0,3764.0,0.0
2025-09-30,809890.0,633264.0,1087.0,450876.0,451963.0,0.0024050641313558855,0.0017165037014578437,90672.0,,,,12460.0,0.0,0.0
2025-12-31,857961.0,650771.0,951.0,432805.0,433756.0,0.002192476876400557,0.0014613435448106939,85557.0,,,,23866.0,-4841.0,0.0
