report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,685054.0,441073.0,0.0,0.0,,,,106431.0,,,,6860.0,3672.0,0.0
2023-06-30,684597.0,454329.0,25.0,0.0,25.0,1.0,5.502620347809627e-05,109149.0,,,,7168.0,6389.0,0.0
2023-09-30,729082.0,522025.0,300.0,1648.0,1948.0,0.1540041067761807,0.0005746851204444231,113399.0,,,,6630.0,8640.0,0.0
2023-12-31,916726.0,683722.0,410.0,1975.0,2385.0,0.1719077568134172,0.0005996589257037217,117518.0,,,,7088.0,12759.0,0.0
2024-03-31,963055.0,778490.0,542.0,2432.0,2974.0,0.18224613315400134,0.0006962196046191987,121818.0,,,,7088.0,4299.0,0.0
2024-06-30,1005460.0,813346.0,891.0,3661.0,4552.0,0.19573813708260104,0.0010954747426064676,127145.0,,,,7342.0,9627.0,29.0
2024-09-30,1044107.0,849316.0,1154.0,4905.0,6059.0,0.19046047202508665,0.0013587404452524148,132863.0,,,,7934.0,15345.0,83.0
2024-12-31,1118602.0,848607.0,1667.0,18323.0,19990.0,0.08339169584792396,0.0019643957685948855,138941.0,,,,9114.0,21422.0,108.0
2025-03-31,1186200.0,884678.0,2454.0,25563.0,28017.0,0.08758967769568476,0.002773890613307893,159745.0,,,,8997.0,5804.0,42.0
2025-06-30,1228360.0,916871.0,3881.0,48927.0,52808.0,0.07349265262838964,0.004232874635581232,165603.0,,,,9205.0,11662.0,79.0
2025-09-30,1297104.0,1007383.0,8945.0,119078.0,128023.0,0.06987025768807167,0.008879443071800894,170851.0,,,,10577.0,16910.0,212.0
2025-12-31,1355585.0,1005278.0,11289.0,116585.0,127874.0,0.08828221530569154,0.011229729487763584,178732.0,,,,9890.0,24792.0,379.0
