report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,5986899.0,3774883.0,18320.0,74456.0,92776.0,0.1974648616021385,0.0048531305473573615,654241.0,4801440.0,0.13625933053417308,,44315.0,22233.0,119.0
2023-06-30,6042335.0,3834248.0,19328.0,79778.0,99106.0,0.1950235101810183,0.00504088415772793,667868.0,4853217.0,0.13761346339963781,,44266.0,45146.0,250.0
2023-09-30,5993264.0,3894635.0,20143.0,82278.0,102421.0,0.19666865193661456,0.005171986591811556,690948.0,4902142.0,0.140948181427629,,44646.0,67540.0,312.0
2023-12-31,6144423.0,3976308.0,20351.0,84232.0,104583.0,0.1945918552728455,0.005118064294818208,688696.0,4905028.0,0.14040613019946063,,43765.0,89693.0,437.0
2024-03-31,6105397.0,3982235.0,21113.0,86337.0,107450.0,0.19649139134481153,0.005301796604168262,682909.0,4973403.0,0.1373122186157044,,43754.0,20582.0,138.0
2024-06-30,6209546.0,4052546.0,10565.0,87915.0,98480.0,0.10728066612510154,0.002607003103727879,686574.0,5003450.0,0.13722011811849824,,43946.0,42607.0,318.0
2024-09-30,6248753.0,4070322.0,10812.0,88951.0,99763.0,0.10837685314194641,0.0026563009019925205,710247.0,4910562.0,0.14463660167614217,,44124.0,65758.0,467.0
2024-12-31,6288885.0,4133141.0,11520.0,95011.0,106531.0,0.10813753743041932,0.002787226470134941,715917.0,5032971.0,0.14224540534805385,,44436.0,90880.0,649.0
2025-03-31,8410798.0,5653239.0,16068.0,117759.0,133827.0,0.12006545764307651,0.0028422644080676584,835097.0,6648415.0,0.1256084344915292,,75158.0,15135.0,152.0
2025-06-30,8263551.0,5753308.0,16357.0,129264.0,145621.0,0.11232583212586096,0.0028430600273790315,869571.0,6680305.0,0.13016935603988142,,75510.0,48459.0,507.0
2025-09-30,8387520.0,5788563.0,13134.0,127737.0,140871.0,0.09323423557723023,0.002268956906921459,885421.0,6757947.0,0.13101922817684128,,76057.0,84324.0,484.0
2025-12-31,8376930.0,5882914.0,13916.0,126498.0,140414.0,0.09910692665973478,0.002365494379146117,884561.0,6851110.0,0.1291120708907024,,77694.0,121555.0,604.0
