report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,6164113.0,2549483.0,231831.0,2563908.0,2795739.0,0.08292297671563761,0.09093255377658921,622637.0,2142366.0,0.29063054585444315,,14920.0,27412.0,1392.0
2023-06-30,6342985.0,2576537.0,183334.0,2683753.0,2867087.0,0.06394434490477617,0.07115519784889562,598878.0,2146491.0,0.27900326626107447,,13078.0,58656.0,2860.0
2023-09-30,6327772.0,2666008.0,190742.0,2728954.0,2919696.0,0.06532940415714512,0.07154592184269515,633714.0,2153216.0,0.29431046397574606,,14196.0,93493.0,4491.0
2023-12-31,6400433.0,2763255.0,231547.0,2744564.0,2976111.0,0.07780186962112637,0.08379501710844638,668920.0,2180289.0,0.30680336414117576,,21886.0,130235.0,6399.0
2024-03-31,6494995.0,2796257.0,253456.0,2782019.0,3035475.0,0.08349796983997562,0.09064116781826563,706613.0,2170958.0,0.3254844174783667,,23237.0,37695.0,2227.0
2024-06-30,6460860.0,2763308.0,203625.0,2913954.0,3117579.0,0.06531510508635066,0.07368885408358387,746596.0,2053788.0,0.36352145401570174,,21599.0,77677.0,4808.0
2024-09-30,6715806.0,2815261.0,218807.0,3003887.0,3222694.0,0.06789567982563656,0.07772174587009872,696424.0,2053294.0,0.3391740296323858,,22321.0,112278.0,6980.0
2024-12-31,6755443.0,2899313.0,269417.0,3034513.0,3303930.0,0.08154440318045479,0.09292442726949453,736701.0,2107671.0,0.349533205134957,,22803.0,154190.0,9108.0
2025-03-31,6874737.0,2902363.0,269560.0,3085372.0,3354932.0,0.08034738110936376,0.09287604617341111,776524.0,2096313.0,0.3704236915002674,,23420.0,40442.0,2713.0
2025-06-30,6866169.0,2835065.0,217487.0,3161726.0,3379213.0,0.06436025192848158,0.07671323232447934,818508.0,2026593.0,0.4038837595906035,,23020.0,83358.0,5256.0
2025-09-30,7422026.0,2847066.0,223000.0,3179179.0,3402179.0,0.06554622787337175,0.07832624884705869,823144.0,2027461.0,0.4059974519855129,,23812.0,128444.0,7862.0
2025-12-31,8044396.0,3149532.0,263652.0,3153630.0,3417282.0,0.07715254403938569,0.08371148475392534,871685.0,2120229.0,0.41112776025608555,,23344.0,178328.0,10931.0
