report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,1000423.0,668190.0,53585.0,523172.0,576757.0,0.09290741161355649,0.08019425612475493,107069.0,,,,14010.0,2979.0,331.0
2023-06-30,999625.0,678883.0,44894.0,527074.0,571968.0,0.0784904050576256,0.06612921519613836,108940.0,,,,12085.0,5101.0,542.0
2023-09-30,997076.0,692709.0,41535.0,517053.0,558588.0,0.07435712904681088,0.05996024304578113,105383.0,,,,11865.0,4344.0,992.0
2023-12-31,1032330.0,706594.0,49016.0,510592.0,559608.0,0.08758988434761476,0.06936939741916857,103491.0,,,,11854.0,2452.0,1426.0
2024-03-31,1128652.0,786337.0,46115.0,510959.0,557074.0,0.08278074367139733,0.05864533908489617,104008.0,,,,11802.0,518.0,280.0
2024-06-30,1139855.0,803431.0,36307.0,506016.0,542323.0,0.0669471882992239,0.04518994163780088,105048.0,,,,11657.0,1557.0,766.0
2024-09-30,1149378.0,804943.0,35373.0,498471.0,533844.0,0.0662609301593724,0.04394472652100832,107866.0,,,,11637.0,4375.0,1175.0
2024-12-31,1113951.0,774980.0,43282.0,492446.0,535728.0,0.08079099841710718,0.05584918320472786,110152.0,,,,9220.0,6661.0,1554.0
2025-03-31,1100620.0,771235.0,41851.0,482845.0,524696.0,0.07976237669050269,0.054264912769778344,112978.0,,,,9221.0,2826.0,312.0
2025-06-30,1086507.0,751430.0,32768.0,483679.0,516447.0,0.06344891150495598,0.043607521658704074,115876.0,,,,9082.0,5724.0,565.0
2025-09-30,1096256.0,751187.0,30939.0,472445.0,503384.0,0.06146202501470051,0.041186815000792076,117993.0,,,,9077.0,7841.0,863.0
2025-12-31,1166855.0,770928.0,38770.0,465958.0,504728.0,0.07681365012442345,0.05029004005562128,120200.0,,,,9112.0,10448.0,1185.0
