report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,7598417.0,6127230.0,4895.0,71461.0,76356.0,0.06410760123631411,0.0007988928112703457,757141.0,7049995.0,0.10739596269217212,,74459.0,28344.0,24.0
2023-06-30,7783276.0,6211440.0,4719.0,74167.0,78886.0,0.05982050046903126,0.0007597272130134076,783362.0,7142891.0,0.10967016016344082,,77362.0,57943.0,79.0
2023-09-30,7742219.0,6230987.0,4739.0,81299.0,86038.0,0.05508031334991515,0.0007605536650935077,811628.0,7142792.0,0.11362895629608143,,78666.0,84455.0,107.0
2023-12-31,7865286.0,6321308.0,4703.0,84624.0,89327.0,0.05264925498449517,0.0007439915916136344,838199.0,7178503.0,0.1167651528459346,,80398.0,109979.0,130.0
2024-03-31,7769341.0,6341681.0,4406.0,86897.0,91303.0,0.04825690283999431,0.0006947684691172577,854122.0,7087451.0,0.12051187373288366,,79829.0,15373.0,31.0
2024-06-30,7986208.0,6403733.0,4402.0,88604.0,93006.0,0.04733027976689676,0.0006874115457343396,881995.0,7152792.0,0.1233077936559598,,78960.0,41620.0,83.0
2024-09-30,8126894.0,6516003.0,4251.0,94628.0,98879.0,0.04299193964340254,0.0006523938064485238,907820.0,7219313.0,0.12574880740037175,,83159.0,66007.0,97.0
2024-12-31,8085206.0,6438182.0,4388.0,101996.0,106384.0,0.0412468040306813,0.0006815588624242061,930890.0,7307423.0,0.1273896420119651,,88221.0,84843.0,110.0
2025-03-31,8204826.0,6549611.0,3773.0,106312.0,110085.0,0.03427351591951674,0.0005760647464406665,954734.0,7428473.0,0.1285235875529197,,91790.0,25322.0,78.0
2025-06-30,8423999.0,6597847.0,4103.0,114900.0,119003.0,0.034478122400275625,0.0006218695280445272,986046.0,7355795.0,0.13405022842534356,,82993.0,53481.0,69.0
2025-09-30,8482238.0,6766879.0,4079.0,124267.0,128346.0,0.03178127873093045,0.0006027889666713414,1012856.0,7528507.0,0.13453610390479812,,84040.0,78737.0,97.0
2025-12-31,8473383.0,6773719.0,4286.0,111354.0,115640.0,0.03706329989622968,0.0006327395630081495,1034444.0,7538323.0,0.13722468511895816,,85016.0,107112.0,145.0
