report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,1103362.0,883713.0,375352.0,1706259.0,2081611.0,0.18031803252384812,0.42474423257324495,208496.0,936045.0,0.22274142802963534,,17615.0,4108.0,4582.0
2023-06-30,1116106.0,881992.0,377321.0,1703399.0,2080720.0,0.18134155484639933,0.4278054676232891,223073.0,921203.0,0.24215400948542287,,18643.0,18398.0,9496.0
2023-09-30,1236101.0,904532.0,380253.0,1700882.0,2081135.0,0.18271424006611778,0.4203864539894664,227482.0,936460.0,0.24291694252824467,,19179.0,22551.0,14573.0
2023-12-31,1238460.0,929271.0,387909.0,1674772.0,2062681.0,0.1880605871678655,0.4174336657444384,230593.0,1032673.0,0.2232972102495175,,18554.0,25396.0,20290.0
2024-03-31,1274091.0,928962.0,377168.0,1682437.0,2059605.0,0.1831263761740722,0.4060101489619597,234809.0,1033227.0,0.2272579017002072,,19036.0,3936.0,6139.0
2024-06-30,1269501.0,947314.0,376193.0,1681174.0,2057367.0,0.18285167400857505,0.39711542318597637,219890.0,1056693.0,0.2080926058940487,,19449.0,23842.0,12066.0
2024-09-30,1312818.0,946751.0,376434.0,1680633.0,2057067.0,0.18299549795898723,0.397606128749798,220068.0,1053584.0,0.20887560934866134,,19111.0,27420.0,17239.0
2024-12-31,1313798.0,939348.0,380626.0,1657393.0,2038019.0,0.18676273381160824,0.4052023318301631,217491.0,1038380.0,0.20945222365607966,,18887.0,27128.0,22811.0
2025-03-31,1344372.0,932102.0,367156.0,1671068.0,2038224.0,0.18013525500631922,0.393901096661095,222382.0,1028745.0,0.21616824383107572,,18668.0,5005.0,5957.0
2025-06-30,1307506.0,959160.0,363911.0,1685043.0,2048954.0,0.1776081844687582,0.3794059385295467,223371.0,1056402.0,0.21144507488626488,,18792.0,9192.0,11833.0
2025-09-30,1329491.0,978997.0,360601.0,1677377.0,2037978.0,0.17694057541347355,0.36833718591578934,224062.0,1068501.0,0.2096975108118757,,17242.0,13683.0,17203.0
2025-12-31,1352658.0,964454.0,361070.0,1655048.0,2016118.0,0.17909169998978233,0.37437762713410905,225349.0,1073055.0,0.21000694279417179,,17144.0,15826.0,21942.0
