report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,2882750.0,1511682.0,64729.0,832352.0,897081.0,0.07215513426323822,0.04281919080864891,348983.0,2079544.0,0.16781707912888594,,24416.0,8145.0,344.0
2023-06-30,2961934.0,1542827.0,65582.0,831808.0,897390.0,0.07308082327639043,0.04250768232601582,349356.0,2173022.0,0.1607696562667106,,24353.0,14482.0,603.0
2023-09-30,2945452.0,1575739.0,64733.0,799925.0,864658.0,0.074865438126982,0.04108104197459097,354133.0,2194872.0,0.1613456274443339,,23569.0,22243.0,915.0
2023-12-31,2941343.0,1580065.0,70156.0,820479.0,890635.0,0.07877076467913342,0.044400705034286565,366584.0,2210740.0,0.16581958982060305,,23300.0,40369.0,1263.0
2024-03-31,2970559.0,1689523.0,63229.0,792887.0,856116.0,0.07385564573025151,0.037424172384750015,370816.0,2179409.0,0.17014520909108846,,24796.0,12705.0,370.0
2024-06-30,2922653.0,1698327.0,63692.0,819319.0,883011.0,0.07213047176082744,0.037502789509911816,378350.0,2185688.0,0.17310338895578875,,23966.0,22213.0,785.0
2024-09-30,2931925.0,1778610.0,66025.0,841769.0,907794.0,0.07273125841325234,0.037121684911250924,386523.0,2269017.0,0.17034821687100626,,23259.0,32363.0,1084.0
2024-12-31,2955684.0,1805204.0,69151.0,874956.0,944107.0,0.07324487584564038,0.038306473949758585,390344.0,2293959.0,0.17016171605508207,,23190.0,41059.0,1550.0
2025-03-31,2969250.0,1787043.0,65080.0,925647.0,990727.0,0.06568913535212022,0.03641770231606067,392599.0,2246800.0,0.17473695923090618,,23371.0,11449.0,394.0
2025-06-30,2997611.0,1903609.0,70010.0,1017415.0,1087425.0,0.06438145159436283,0.03677751050767253,399414.0,2325236.0,0.17177353180494367,,24070.0,21068.0,928.0
2025-09-30,2978883.0,1853329.0,68072.0,892140.0,960212.0,0.07089267786697104,0.03672958228139742,408337.0,2158194.0,0.18920310222343312,,25735.0,32152.0,1429.0
2025-12-31,2972669.0,1794438.0,70332.0,887672.0,958004.0,0.07341514231673354,0.03919444416580567,415898.0,2106553.0,0.19743058921375348,,25194.0,41641.0,1936.0
