report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,6194812.0,4564967.0,16595.0,87805.0,104400.0,0.158955938697318,0.003635294625349975,803408.0,4674730.0,0.1718619043238861,,83803.0,13920.0,87.0
2023-06-30,6308898.0,4767414.0,17083.0,89068.0,106151.0,0.16093112641425894,0.0035832843549983284,777486.0,4932997.0,0.15760925863121344,,84276.0,28002.0,176.0
2023-09-30,6372370.0,4789281.0,17182.0,89676.0,106858.0,0.1607928278650171,0.0035875948811523064,787099.0,4951472.0,0.15896262767920327,,84203.0,37620.0,249.0
2023-12-31,6274391.0,4701223.0,17689.0,90500.0,108189.0,0.16350091044376044,0.003762637934852271,803538.0,4840900.0,0.16598938213968478,,81112.0,54105.0,347.0
2024-03-31,6321746.0,4767203.0,17478.0,90840.0,108318.0,0.16135822301002603,0.003666300763781194,818469.0,4949737.0,0.16535605831178504,,81419.0,14923.0,115.0
2024-06-30,6438162.0,4871914.0,17821.0,89640.0,107461.0,0.1658369082736993,0.003657905291431663,795514.0,5119001.0,0.15540415014570225,,81492.0,31975.0,183.0
2024-09-30,6608669.0,4994757.0,17701.0,90650.0,108351.0,0.16336720473276667,0.0035439161504753885,808913.0,5272670.0,0.15341620090011324,,86533.0,45379.0,285.0
2024-12-31,6744404.0,5052405.0,18093.0,88588.0,106681.0,0.16959908512293662,0.0035810668384660374,821589.0,5302024.0,0.15495761618581885,,80846.0,58044.0,358.0
2025-03-31,6848587.0,5175943.0,18049.0,90155.0,108204.0,0.16680529370448413,0.003487094042573498,839407.0,5382289.0,0.15595725164516436,,80849.0,17823.0,98.0
2025-06-30,7045570.0,5352684.0,17464.0,90092.0,107556.0,0.16237122987095096,0.0032626622457070137,812754.0,5560676.0,0.14616100632369158,,79634.0,31175.0,175.0
2025-09-30,7069263.0,5418084.0,17612.0,92180.0,109792.0,0.16041241620518798,0.0032505955980010647,834692.0,5608263.0,0.14883253513610187,,79504.0,53119.0,242.0
2025-12-31,7187696.0,5275069.0,18139.0,91313.0,109452.0,0.1657256148814092,0.0034386280065720467,856461.0,5476737.0,0.15638161920136023,,76743.0,74892.0,305.0
