report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,1757599.0,933303.0,45497.0,148791.0,194288.0,0.23417298031787862,0.0487483700363119,136439.0,1124692.0,0.12131232372951883,,11502.0,6680.0,0.0
2023-06-30,1498735.0,967719.0,47710.0,153255.0,200965.0,0.23740452317567737,0.04930150177892549,144491.0,1156098.0,0.12498161920529229,,12317.0,14709.0,0.0
2023-09-30,1478148.0,974495.0,47307.0,155046.0,202353.0,0.23378452506263805,0.04854514389504307,150957.0,1062622.0,0.14206086454073039,,12460.0,21411.0,0.0
2023-12-31,1431947.0,1044675.0,53009.0,154083.0,207092.0,0.2559683618874703,0.05074209682437122,154180.0,1148855.0,0.1342031849101932,,16576.0,24671.0,0.0
2024-03-31,1551293.0,1058035.0,60269.0,158167.0,218436.0,0.27591147979270814,0.056963143941362995,156336.0,1127872.0,0.13861147364239915,,17069.0,2962.0,0.0
2024-06-30,1679658.0,1027364.0,46281.0,133203.0,179484.0,0.25785585344654677,0.04504829836357902,159854.0,1081064.0,0.1478672863031236,,16359.0,6997.0,0.0
2024-09-30,1670817.0,1054542.0,52366.0,124716.0,177082.0,0.2957161089212907,0.04965757646447463,161789.0,1131929.0,0.14293210969945994,,17104.0,8852.0,0.0
2024-12-31,1812062.0,1039897.0,52611.0,134128.0,186739.0,0.28173547036237745,0.05059251060441563,162855.0,1073380.0,0.1517216642754663,,16541.0,10298.0,0.0
2025-03-31,1597716.0,979982.0,52250.0,43433.0,95683.0,0.5460740152378165,0.05331730582806623,158353.0,1074764.0,0.14733746199165584,,15466.0,-4324.0,0.0
2025-06-30,1459376.0,950661.0,47020.0,48909.0,95929.0,0.4901541765263893,0.04946032287008723,151329.0,1050638.0,0.1440353385276375,,15358.0,-8756.0,0.0
2025-09-30,1355975.0,942136.0,45969.0,60773.0,106742.0,0.43065522474752205,0.04879231873105369,144631.0,971778.0,0.14883131744081468,,14740.0,-14092.0,0.0
2025-12-31,1286556.0,888691.0,56621.0,82147.0,138768.0,0.408026346131673,0.0637128090641179,158346.0,892916.0,0.17733583002208494,,13852.0,-3020.0,0.0
