report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,1245341.0,774971.0,774971.0,6776067.0,7551038.0,0.10263105549197342,1.0,525227.0,,,,115437.0,113879.0,19932.0
2023-06-30,1210223.0,844771.0,844771.0,6801036.0,7645807.0,0.1104881407547954,1.0,441183.0,,,,123505.0,224835.0,42364.0
2023-09-30,1404391.0,955625.0,955625.0,6664379.0,7620004.0,0.1254100391548351,1.0,478757.0,,,,135240.0,342409.0,64459.0
2023-12-31,1578525.0,1067382.0,1067382.0,6424780.0,7492162.0,0.1424664869766564,1.0,589348.0,,,,153786.0,453000.0,91983.0
2024-03-31,1616878.0,1073511.0,1073511.0,6892662.0,7966173.0,0.13475868525576837,1.0,561992.0,,,,161003.0,115893.0,33243.0
2024-06-30,1598107.0,1133552.0,1133552.0,6822203.0,7955755.0,0.14248201459195262,1.0,468395.0,,,,165776.0,232297.0,69940.0
2024-09-30,1579204.0,1212581.0,1212581.0,6786785.0,7999366.0,0.15158463808256806,1.0,477206.0,,,,187665.0,341108.0,104321.0
2024-12-31,1664279.0,1310730.0,1310730.0,6689926.0,8000656.0,0.16382781611907823,1.0,509701.0,,,,187794.0,473603.0,143652.0
2025-03-31,1812405.0,1315523.0,1315523.0,7400656.0,8716179.0,0.15092886458619081,1.0,586017.0,,,,179271.0,144566.0,43023.0
2025-06-30,1921624.0,1399005.0,1399005.0,7504854.0,8903859.0,0.15712344501412254,1.0,633504.0,,,,183644.0,282053.0,87110.0
2025-09-30,1920579.0,1527822.0,1527822.0,7721388.0,9249210.0,0.1651840535570065,1.0,623025.0,,,,203152.0,411574.0,128712.0
2025-12-31,1966557.0,1710913.0,1710913.0,8111296.0,9822209.0,0.17418820959725048,1.0,545692.0,,,,248739.0,514241.0,175345.0
