report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,7615928.0,3889950.0,10983.0,66959.0,77942.0,0.1409124733776398,0.002823429607064358,1323501.0,6364711.0,0.20794361283646656,,96761.0,33710.0,14.0
2023-06-30,7562820.0,3918094.0,11139.0,67978.0,79117.0,0.14079148602702327,0.0028429639513498145,1346752.0,6339442.0,0.2124401485178033,,98214.0,66960.0,16.0
2023-09-30,7543919.0,3949098.0,11243.0,69099.0,80342.0,0.13993925966493242,0.0028469792342453895,1366812.0,6300897.0,0.21692339995400656,,99764.0,97023.0,27.0
2023-12-31,7663791.0,4065682.0,11749.0,69890.0,81639.0,0.143914060681782,0.002889798070778777,1392372.0,6397021.0,0.21765943866684195,,101490.0,127581.0,34.0
2024-03-31,8003224.0,4158053.0,11063.0,71773.0,82836.0,0.13355304456999373,0.0026606202470242685,1411798.0,6411831.0,0.22018640229288639,,102705.0,29428.0,8.0
2024-06-30,7951038.0,4135812.0,11427.0,73738.0,85165.0,0.13417483708096048,0.00276293990152357,1232976.0,6374856.0,0.19341236884409624,,104100.0,62083.0,41.0
2024-09-30,8249551.0,4173450.0,11563.0,75887.0,87450.0,0.13222412807318468,0.0027706094478189506,1261347.0,6099056.0,0.2068102014475683,,105537.0,90455.0,69.0
2024-12-31,7956839.0,4289281.0,11762.0,76423.0,88185.0,0.13337869252140386,0.002742184529295236,1199652.0,6221052.0,0.1928374815063433,,106838.0,128758.0,88.0
2025-03-31,8075696.0,4209552.0,11968.0,77924.0,89892.0,0.13313754282917278,0.0028430578835942637,1235445.0,6160818.0,0.20053262407686773,,107077.0,35793.0,22.0
2025-06-30,8156223.0,4287697.0,11379.0,79035.0,90414.0,0.12585440307916915,0.0026538722302438815,1271172.0,6286661.0,0.20220145479452448,,108823.0,71520.0,29.0
2025-09-30,8460369.0,4427173.0,11960.0,79366.0,91326.0,0.13095942009942405,0.0027014982247136037,1309295.0,6362015.0,0.20579879173500848,,110112.0,109643.0,60.0
2025-12-31,8360743.0,4500545.0,11975.0,79144.0,91119.0,0.13142154764648425,0.0026607888600158427,1347998.0,6488503.0,0.20775177263538291,,111715.0,148348.0,81.0
