report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,4175277.0,3201849.0,12041.0,67528.0,79569.0,0.1513277784061632,0.0037606395554568624,519497.0,,,,41070.0,12494.0,93.0
2023-06-30,4133559.0,3306257.0,11831.0,69245.0,81076.0,0.14592481128817406,0.003578366714989186,528953.0,,,,44270.0,23896.0,123.0
2023-09-30,4244301.0,3368747.0,12246.0,71008.0,83254.0,0.14709203161409662,0.003635179489584703,536635.0,,,,48400.0,31277.0,188.0
2023-12-31,4340318.0,3440805.0,12585.0,73677.0,86262.0,0.1458927453571677,0.0036575743176378785,541566.0,,,,49410.0,38321.0,214.0
2024-03-31,4386554.0,3446462.0,12108.0,74851.0,86959.0,0.13923803171609608,0.0035131679966295872,539229.0,,,,49830.0,12100.0,183.0
2024-06-30,4340537.0,3451628.0,12464.0,75569.0,88033.0,0.14158326991014733,0.003611049626437148,550503.0,,,,49730.0,24646.0,260.0
2024-09-30,4435900.0,3429327.0,13537.0,75827.0,89364.0,0.1514815809498232,0.003947421753597718,557373.0,,,,50220.0,36928.0,396.0
2024-12-31,4586865.0,3442432.0,13045.0,76671.0,89716.0,0.14540327254893218,0.0037894720941473933,566359.0,,,,50940.0,48438.0,498.0
2025-03-31,4562633.0,3474195.0,12949.0,78124.0,91073.0,0.142182644691621,0.0037271943572539826,567570.0,,,,52950.0,14478.0,67.0
2025-06-30,4603395.0,3521905.0,12254.0,78953.0,91207.0,0.13435372285021982,0.003479366990307802,580696.0,,,,54020.0,33436.0,80.0
2025-09-30,4651807.0,3559924.0,12728.0,79584.0,92312.0,0.13788023225582807,0.003575357226727312,590905.0,,,,59097.0,46529.0,195.0
2025-12-31,4646755.0,3573070.0,12176.0,80910.0,93086.0,0.13080377285520917,0.0034077138147307496,601341.0,,,,58204.0,61441.0,245.0
