report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,7852913.0,6329671.0,0.0,51489.0,51489.0,,,712121.0,7217639.0,0.09866398139336145,,140864.0,17222.0,0.0
2023-06-30,7953299.0,6345054.0,0.0,51129.0,51129.0,,,718515.0,7147707.0,0.10052384631882644,,151415.0,34485.0,0.0
2023-09-30,7889595.0,6259524.0,0.0,50000.0,50000.0,,,724275.0,7086387.0,0.10220652640054798,,157815.0,51282.0,0.0
2023-12-31,7782095.0,6107403.0,0.0,0.0,,,,722123.0,6927526.0,0.10423966651298025,,159319.0,66335.0,0.0
2024-03-31,7756052.0,5938201.0,0.0,0.0,,,,727888.0,6787826.0,0.10723433393843625,,160844.0,24754.0,0.0
2024-06-30,7701190.0,5834612.0,0.0,22221.0,22221.0,,,743881.0,6724142.0,0.11062838946589766,,155443.0,52359.0,0.0
2024-09-30,7694045.0,5736238.0,0.0,39381.0,39381.0,,,752606.0,6567497.0,0.11459556053089937,,151067.0,72676.0,0.0
2024-12-31,7496784.0,5512521.0,0.0,52440.0,52440.0,,,712263.0,6372584.0,0.11176988800775321,,111204.0,44004.0,0.0
2025-03-31,7273790.0,5305874.0,0.0,66268.0,66268.0,,,714213.0,6173515.0,0.11568984606014564,,105176.0,-139152.0,0.0
2025-06-30,7096444.0,5072594.0,0.0,83575.0,83575.0,,,716530.0,5737532.0,0.12488470652538408,,92690.0,-125121.0,0.0
2025-09-30,6902904.0,4875122.0,0.0,96222.0,96222.0,,,667665.0,5525214.0,0.12083966340489255,,100886.0,-112724.0,0.0
2025-12-31,6502519.0,4359785.0,0.0,115596.0,115596.0,,,655751.0,5026125.0,0.1304685020766495,,69219.0,-114457.0,0.0
