report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,4284964.0,3145809.0,45042.0,4968577.0,5013619.0,0.00898392957263007,0.01431809750687343,405926.0,,,,38098.0,11011.0,4.0
2023-06-30,4416577.0,3278892.0,80064.0,5262673.0,5342737.0,0.014985577616865663,0.024418004618633367,403810.0,,,,38446.0,21071.0,29.0
2023-09-30,4550620.0,3407056.0,86569.0,5694379.0,5780948.0,0.014974879552627008,0.025408739979618768,413600.0,,,,39772.0,29869.0,42.0
2023-12-31,4701349.0,3555647.0,105213.0,5801461.0,5906674.0,0.01781256253519324,0.029590395222022885,419553.0,,,,41719.0,37442.0,58.0
2024-03-31,4633839.0,3520866.0,78907.0,5820970.0,5899877.0,0.013374346617734572,0.022411247687358735,433524.0,,,,42027.0,26714.0,19.0
2024-06-30,4694783.0,3566603.0,76087.0,5760968.0,5837055.0,0.013035169276287444,0.021333184545630674,441243.0,,,,42677.0,33545.0,43.0
2024-09-30,4703553.0,3575579.0,70556.0,5767662.0,5838218.0,0.01208519448914035,0.019732748178686584,451980.0,,,,43148.0,43393.0,83.0
2024-12-31,4684374.0,3561024.0,79966.0,5832951.0,5912917.0,0.013523951038040953,0.022455900325299687,460471.0,,,,43543.0,53475.0,117.0
2025-03-31,4786044.0,3499466.0,69769.0,6185563.0,6255332.0,0.011153524705003668,0.019937041822952417,466975.0,,,,43448.0,10755.0,88.0
2025-06-30,4748100.0,3483540.0,73733.0,6073261.0,6146994.0,0.011994968597659278,0.021166112632551946,474712.0,,,,43232.0,20915.0,153.0
2025-09-30,4735956.0,3473315.0,64720.0,5796048.0,5860768.0,0.01104292133727184,0.01863349566624392,480175.0,,,,43351.0,34099.0,177.0
2025-12-31,4697206.0,3480723.0,77763.0,8474177.0,8551940.0,0.009093024506720112,0.022341048109832354,484925.0,,,,43175.0,48108.0,267.0
