report_date,total_assets_k,total_loans_k,credit_card_loans_k,unused_card_lines_k,card_exposure_k,utilisation,card_share_of_loans,cet1_k,rwa_k,cet1_ratio,leverage_ratio_pct,allowance_k,net_income_ytd_k,card_net_chargeoffs_ytd_k
2023-03-31,973017.0,637895.0,210149.0,97815.0,307964.0,0.6823817069527607,0.3294413657420108,82471.0,363744.0,0.22672813847101259,,2329.0,2951.0,1.0
2023-06-30,953561.0,665945.0,215601.0,86945.0,302546.0,0.7126222128205297,0.3237519614983219,85654.0,373543.0,0.22930157973780796,,3383.0,6497.0,14.0
2023-09-30,950905.0,664229.0,209806.0,82319.0,292125.0,0.7182062473256311,0.3158639565571512,90318.0,396615.0,0.2277220982564956,,3261.0,11825.0,14.0
2023-12-31,935184.0,691302.0,204999.0,84751.0,289750.0,0.7075030198446937,0.2965404410807433,94573.0,386967.0,0.24439551693038425,,4321.0,16371.0,14.0
2024-03-31,1046525.0,684023.0,188819.0,110145.0,298964.0,0.6315777150426138,0.27604188748039177,97737.0,363360.0,0.2689811756935271,,4655.0,3617.0,0.0
2024-06-30,1054489.0,715018.0,202079.0,120260.0,322339.0,0.6269145216681816,0.28262085709730383,101428.0,385524.0,0.2630912731762484,,4912.0,7834.0,0.0
2024-09-30,1136790.0,718812.0,210592.0,134174.0,344766.0,0.6108258935045799,0.29297229317262374,106320.0,380739.0,0.27924641289702395,,5235.0,13128.0,26.0
2024-12-31,1586647.0,764350.0,224901.0,183321.0,408222.0,0.5509281714361304,0.29423824164322626,121388.0,500580.0,0.2424947061408766,,5423.0,21973.0,237.0
2025-03-31,1747932.0,806517.0,216537.0,232493.0,449030.0,0.482232812952364,0.2684841113082551,126719.0,482388.0,0.2626910287983947,,6509.0,5042.0,579.0
2025-06-30,1743973.0,897329.0,271786.0,292397.0,564183.0,0.4817337636901502,0.3028833348749455,133103.0,497358.0,0.26762010463288016,,8043.0,11088.0,1257.0
2025-09-30,1973003.0,906895.0,288532.0,349111.0,637643.0,0.45249771423821794,0.31815370026298523,171250.0,533072.0,0.32125116306990426,,8573.0,18855.0,2039.0
2025-12-31,2610128.0,1071660.0,326374.0,384849.0,711223.0,0.4588912338324267,0.30454995054401585,179534.0,762261.0,0.23552825082222492,,11440.0,25867.0,7089.0
