rssd,cert,name,city,state,total_assets_k,total_loans_k,total_equity_k,credit_card_loans_k,other_revolving_k,unused_card_lines_k,unused_revolving_k,card_exposure_k,card_share_of_loans,utilisation,allowance_k,cet1_k,tier1_k,rwa_k,cet1_ratio,tier1_rbc_ratio_pct,leverage_ratio_pct,net_income_ytd_k,card_net_chargeoffs_ytd_k
1391778,27499,COMENITY BANK,WILMINGTON,DE,7760444.0,6756180.0,1050341.0,6756180.0,0.0,37768445.0,0.0,44524625.0,1.0,0.15174030101320338,770008.0,1054628.0,1054628.0,6979457.0,0.1511045916609272,,,375496.0,462374.0
2992547,35237,"JOHN DEERE FINANCIAL, F.S.B.",MIDDLETON,WI,3397348.0,3372601.0,821810.0,538717.0,0.0,33495476.0,0.0,34034193.0,0.15973339271381345,0.015828699096817132,8214.0,821810.0,821810.0,,,,,154355.0,15155.0
2122997,33855,CREDIT FIRST NATIONAL ASSOCIATION,BROOK PARK,OH,38846.0,0.0,37417.0,0.0,0.0,11435050.0,0.0,11435050.0,,,0.0,37417.0,37417.0,9652.0,3.8766058847907168,,,11348.0,0.0
2615190,34519,MERRICK BANK,SOUTH JORDAN,UT,9251625.0,8915993.0,1878028.0,6289466.0,0.0,4425411.0,0.0,10714877.0,0.70541396791137,0.5869844329524267,1367240.0,1808046.0,1808046.0,8997793.0,0.20094327575662166,,,99658.0,750851.0
639567,25620,"CREDIT ONE BANK, NATIONAL ASSOCIATION",LAS VEGAS,NV,1966557.0,1710913.0,553548.0,1710913.0,0.0,8111296.0,0.0,9822209.0,1.0,0.17418820959725048,248739.0,545692.0,545692.0,,,,,514241.0,175345.0
2700984,34697,WEX BANK,SANDY,UT,8449841.0,3008168.0,766567.0,0.0,0.0,8866340.0,0.0,8866340.0,,,48778.0,764306.0,764306.0,5101011.0,0.14983421913812772,,,378235.0,0.0
77851,3973,FIRST BANK & TRUST,BROOKINGS,SD,4697206.0,3480723.0,528711.0,77763.0,923.0,8474177.0,64488.0,8551940.0,0.022341048109832354,0.009093024506720112,43175.0,484925.0,484925.0,,,,,48108.0,267.0
3783948,26342,"RBC BANK (GEORGIA), NATIONAL ASSOCIATION",ATLANTA,GA,8044396.0,3149532.0,881476.0,263652.0,14970.0,3153630.0,232192.0,3417282.0,0.08371148475392534,0.07715254403938569,23344.0,871685.0,871685.0,2120229.0,0.41112776025608555,,,178328.0,10931.0
2687487,34535,"TCM BANK, NATIONAL ASSOCIATION",TAMPA,FL,395143.0,315877.0,76617.0,202195.0,0.0,2298615.0,0.0,2500810.0,0.640106750412344,0.08085180401549898,11225.0,72807.0,72807.0,348111.0,0.2091488059842981,,,-3167.0,6589.0
278555,4091,"STRIDE BANK, NATIONAL ASSOCIATION",ENID,OK,4855805.0,4136107.0,357690.0,2197556.0,20620.0,0.0,0.0,2197556.0,0.5313102393144085,1.0,20974.0,357576.0,357576.0,2036275.0,0.17560300057703404,,,87530.0,0.0
526452,1673,1ST FINANCIAL BANK USA,DAKOTA DUNES,SD,1352658.0,964454.0,225781.0,361070.0,35.0,1655048.0,0.0,2016118.0,0.37437762713410905,0.17909169998978233,17144.0,225349.0,225349.0,1073055.0,0.21000694279417179,,,15826.0,21942.0
