name,assets_k,credit_card,auto,other_consumer,commercial_industrial,agricultural,re_construction,re_residential_1_4,re_multifamily,re_nonresidential,loan_hhi,cet1_pct,lev_pct,roa,allow_pct
"Credit One Bank, National Association",2161721,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,29.51482087581739,28.30855867749216,14.317929809241667
Comenity Bank,7766339,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.12,13.540957737950412,5.249767450218116,11.632029082188241
Merrick Bank,8933716,0.7115077520045965,0.0,0.28849224799540346,0.0,0.0,0.0,0.0,0.0,0.0,0.5894710583160758,17.81,17.10919900305016,3.3071032322132425,15.373721449914465
"Stride Bank, National Association",5644142,0.5985566377928444,0.00013608479521705114,0.0007077642748222161,0.056222549209454235,0.03124338333935642,0.018784635327695066,0.0879708030277428,0.003462967462577709,0.17356402789614964,0.4006358807702367,18.69,8.15144383653787,2.006791081897842,0.4398499038155957
1st Financial Bank USA,1333008,0.3590552268935981,0.0008093400939865516,0.007061363444221518,0.028011415303847924,0.0052962803347884274,0.15653152920944485,0.08950476634299936,0.024996752329559162,0.006079845266546108,0.16295888879765427,21.27,16.97755821569836,1.049125244911318,1.7853939372694412
Lead Bank,2680831,0.3054392462792729,0.00015928318903252856,0.32818927969212575,0.04494349108471852,0.0,0.0757766886306589,0.03043224331147919,0.023549195619895387,0.16971989959666567,0.2390489161407464,22.4,7.552572161636968,1.5853458701910184,1.4139586998830092
Column National Association,1388684,0.28637907103554255,0.01634920438209488,0.07736826451197144,0.0916602637188321,0.0072095127150151195,0.0,0.06827194765280326,0.03565099390274129,0.39404463887374214,0.25792292781099424,23.73,8.027581191671892,8.28346911143185,0.6180910127398007
Coastal Community Bank,5659447,0.19233758546052662,3.489465579560066e-05,0.16982777102478325,0.07956584019050976,0.0,0.058972219335254296,0.12715210906814198,0.09013967401864428,0.23283496735717918,0.1541486070850985,12.19,10.097989606676144,0.9556284844228516,4.328619291271968
"The Bancorp Bank, National Association",9899655,0.15469028385513572,0.0,0.02199762165242758,0.10027451353048354,0.0,0.0031224534356566647,0.0018547457143498754,0.29340024407687293,0.10588137975623524,0.13177571694189638,14.06,9.17754447379853,2.871009023309259,0.7995109835227178
Farm Bureau Bank FSB,1081100,0.14664636055604632,0.2495799539781456,0.1569619713449334,0.1115410392624778,0.04514378831545889,0.027975531403186888,0.07530848899352843,0.030766955402504688,0.15539904038970678,0.15446120017434,12.67,9.742689416799253,-0.034622164907397224,1.5234912653078627
First Savings Bank,1588238,0.14227744168874015,0.004862376619945398,0.0067050327545676875,0.046494041852682355,0.0332372487518037,0.045206892346880016,0.09025627824107633,0.11329540758605272,0.45911776063083876,0.25739270760087407,23.22,19.109199254835715,2.573965565222837,5.600709287122408
"John Deere Financial, f.s.b.",4106696,0.12568139645996065,0.0,0.0,0.042345902608794415,0.8300519388487032,0.0,0.0,0.0,0.0,0.7065752100703706,,24.629068267527447,5.085577856419818,0.1437299920616402
First National Bank,2046492,0.12152840409965611,0.001067957940690565,0.0017979462647845427,0.10293681921751242,0.06007198296997801,0.0845399413013849,0.1007826699078756,0.09413332933934429,0.36785615908926633,0.19046154373792612,23.95,21.177531598713166,2.5123342348259663,5.011783353010242
